S,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61604,1,2,346574.500,4070309.000,2.5021,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61636,1,2,346574.500,4070309.000,2.5021,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61669,1,2,346574.500,4070309.000,2.5023,9,39
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61700,1,2,346574.500,4070309.000,2.5023,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61736,1,2,346574.500,4070309.000,2.5023,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61768,1,2,346574.500,4070309.000,2.5021,9,3B
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61800,1,2,346574.500,4070309.000,2.5019,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61836,1,2,346574.500,4070309.000,2.5019,9,34
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61869,1,2,346574.500,4070309.000,2.5019,9,3E
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61899,1,2,346574.500,4070309.000,2.5019,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61930,1,2,346574.500,4070309.000,2.5023,9,3A
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61963,1,2,346574.500,4070309.000,2.5019,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,61993,1,2,346574.500,4070309.000,2.5021,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62025,1,2,346574.500,4070309.000,2.5021,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62058,1,2,346574.500,4070309.000,2.5023,9,3E
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62089,1,2,346574.500,4070309.000,2.5021,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62119,1,2,346574.500,4070309.000,2.5018,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62152,1,2,346574.500,4070309.000,2.5021,9,37
#CS,1500,1500,
#RCR,-17629,-4882,5D
#BS,62183,1,2,346574.500,4070309.000,2.5018,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62214,1,2,346574.500,4070309.000,2.5021,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62246,1,2,346574.500,4070309.000,2.5019,9,3A
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62278,1,2,346574.470,4070308.500,2.5018,9,34
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62309,1,2,346574.470,4070308.500,2.5021,9,39
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62341,1,2,346574.470,4070308.500,2.5023,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62373,1,2,346574.470,4070308.500,2.5025,9,30
#CS,1500,1500,33#CS,1500,1500,33
#RCR,-17629,-4882,5D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62468,1,2,346574.470,4070308.500,2.5016,9,3D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62498,1,2,346574.470,4070308.500,2.5012,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62529,1,2,346574.470,4070308.500,2.5011,9,3E
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62562,1,2,346574.470,4070308.500,2.5009,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62593,1,2,346574.470,4070308.500,2.5011,9,3F
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62623,1,2,346574.470,4070308.500,2.5014,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62656,1,2,346574.470,4070308.500,2.5012,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62688,1,2,346574.470,4070308.500,2.5016,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,62718,1,2,346574.470,4070308.500,2.5011,9,3E
#CS,1500,1500,33
#RCR,-17629,-4882,5D
LP:69.0 IMU:51.0 GGA:7.0 RC1:0.0 RC2:0.0
#BS,62763,1,2,346574.470,4070308.500,2.5011,9,32
#CS,1500,1500,33
