26.153,4069912.320,0.8564,7,3A
#CS,1503,1488,31
#RCR,1515,1489,64
#HCS,auto,0.852,0.856,5C
#BS,33294,2,1,341726.153,4069912.320,0.8564,7,36
#CS,1503,1467,30
#RCR,1500,1468,6F
#HCS,auto,0.852,0.856,5C
#BS,33343,2,1,341726.153,4069912.320,0.8559,7,33
#CS,1503,1483,3A
#RCR,1501,1484,6C
#HCS,auto,0.852,0.857,5D
#BS,33392,2,1,341726.153,4069912.320,0.8566,7,33
#CS,1503,1492,3A
#RCR,1503,1493,68
#HCS,auto,0.852,0.856,5C
#BS,33440,2,1,341726.153,4069912.320,0.8559,7,37
#CS,1503,1492,3A
#RCR,1504,1493,6F
#HCS,auto,0.852,0.855,5F
#BS,33492,2,1,341726.256,4069912.225,0.8550,7,33
#CS,1503,1498,30
#RCR,1501,1498,61
#HCS,auto,0.852,0.854,5E
#BS,33540,2,1,341726.256,4069912.225,0.8542,7,3E
#CS,1503,1490,38
#RCR,1499,1491,68
#HCS,auto,0.852,0.854,5E
#BS,33590,2,1,341726.256,4069912.225,0.8543,7,32
#CS,1503,1487,3E
#RCR,1502,1488,63
#HCS,auto,0.852,0.855,5F
#BS,33638,2,1,341726.256,4069912.225,0.8549,7,39
#CS,1503,1491,39
#RCR,1502,1492,68
#HCS,auto,0.852,0.855,5F
#BS,33688,2,1,341726.256,4069912.225,0.8545,7,3E
#CS,1503,1491,39
#RCR,1501,1492,6B
#HCS,auto,0.852,0.854,5E
#BS,33737,2,1,341726.256,4069912.225,0.8538,7,31
#CS,1503,1491,39
#RCR,1500,1492,6A
#HCS,auto,0.852,0.853,59
#BS,33786,2,1,341726.256,4069912.225,0.8529,7,3B
#CS,1503,1483,3A
#RCR,1503,1484,6E
#HCS,auto,0.852,0.855,5F
#BS,33835,2,1,341726.256,4069912.225,0.8549,7,3A
#CS,1503,1503,33
#RCR,1494,1504,68
#HCS,auto,0.852,0.855,5F
#BS,33884,2,1,341726.256,4069912.225,0.8547,7,3E
#CS,1503,1499,31
#RCR,1503,1500,63
#HCS,auto,0.852,0.853,59
#BS,33935,2,1,341726.256,4069912.225,0.8535,7,30
#CS,1503,1491,39
#RCR,1502,1492,68
#HCS,auto,0.852,0.854,5E
#BS,33984,2,1,341726.256,4069912.225,0.8543,7,3B
#CS,1503,1498,30
#RCR,1503,1498,63
#HCS,auto,0.852,0.854,5E
#BS,34033,2,1,341726.256,4069912.225,0.8543,7,39
